"Uid","Familty_type","Highest_diploma","insee_code","Job_42","ACT","sex","Studying","age_2020","target"
1,"FT.4.2","EDU1-3","01002","csp_5_2","AT1|1","Male",FALSE,56,334.988012937051
3,"FT.3.2","EDU1-3","01004","csp_6_8","AT1|1","Male",TRUE,19,385.05921453904
4,"FT.1.1","EDU1-3","01004","csp_5_4","AT1|1","Male",FALSE,47,311.38700931495
6,"FT.4.2","EDU1-8","01004","csp_4_6","AT1|1","Male",FALSE,28,281.922903038801
10,"FT.2.0","EDU2","01004","csp_8_4","AT2|2","Male",TRUE,16,602.74825570983
13,"FT.3.2","EDU1-2","01004","csp_8_4","AT2|2","Male",TRUE,20,685.517679476731
14,"FT.4.1","EDU1-6","01004","csp_5_5","AT1|1","Female",FALSE,35,199.988554386723
15,"FT.4.1","EDU1-4","01004","csp_4_5","AT1|1","Female",FALSE,53,383.345973011388
16,"FT.4.4","EDU1-3","01004","csp_7_8","AT2|1","Male",FALSE,69,432.676483009175
17,"FT.4.4","EDU1-1","01004","csp_7_1","AT2|1","Male",FALSE,77,549.263841484772
18,"FT.4.4","EDU1-3","01004","csp_7_8","AT2|1","Male",FALSE,70,435.942665465369
19,"FT.4.2","EDU1-6","01004","csp_4_6","AT1|1","Male",FALSE,46,239.280345676538
20,"FT.4.2","EDU1-5","01004","csp_3_8","AT1|1","Male",FALSE,61,280.658785766802
23,"FT.4.1","EDU1-6","01004","csp_3_8","AT1|1","Male",FALSE,43,349.208410306926
24,"FT.4.3","EDU1-5","01004","csp_6_7","AT1|2","Male",FALSE,38,602.265574406087
25,"FT.4.2","EDU1-2","01004","csp_2_1","AT1|1","Male",FALSE,52,332.622972718437
26,"FT.1.2","EDU1-1","01005","csp_7_8","AT2|1","Female",FALSE,92,476.284901012746
28,"FT.1.2","EDU1-3","01007","csp_7_7","AT2|1","Female",FALSE,88,435.667038603547
30,"FT.1.2","EDU1-4","01007","csp_7_5","AT2|1","Female",FALSE,91,382.826793811284
31,"FT.3.2","EDU1-1","01007","csp_7_1","AT2|1","Female",FALSE,88,501.678492790456
33,"FT.4.1","EDU1-5","01007","csp_4_6","AT1|1","Female",FALSE,45,401.210724028239
34,"FT.1.2","EDU1-5","01007","csp_6_2","AT1|1","Female",FALSE,55,616.009143279201
35,"FT.4.1","EDU1-6","01007","csp_3_8","AT1|1","Male",FALSE,55,254.207891777092
36,"FT.1.2","EDU1-6","01008","csp_5_2","AT1|1","Female",FALSE,63,241.076762942942
38,"FT.4.4","EDU1-1","01013","csp_7_7","AT2|1","Female",FALSE,79,492.525461499411
42,"FT.1.1","EDU1-1","01014","csp_7_2","AT2|1","Male",FALSE,93,422.033230702043
45,"FT.2.0","EDU1-1","01016","csp_8_5","AT2|5","Male",FALSE,53,734.406638334371
49,"FT.1.1","EDU1-3","01024","csp_6_2","AT1|1","Male",FALSE,27,648.434359185379
54,"FT.4.3","EDU3","01024","csp_5_4","AT1|1","Female",FALSE,48,328.415706679201
56,"FT.4.1","EDU2","01025","csp_7_8","AT2|1","Male",FALSE,85,316.92552866422
57,"FT.1.2","EDU1-1","01025","csp_7_5","AT2|1","Female",FALSE,93,456.198711549967
59,"FT.4.4","EDU1-3","01025","csp_7_7","AT2|1","Female",FALSE,68,469.57503686543
60,"FT.4.1","EDU1-3","01025","csp_2_2","AT1|1","Male",FALSE,64,392.155411900077
61,"FT.3.1","EDU1-4","01025","csp_4_7","AT1|2","Male",FALSE,56,658.656461798748
63,"FT.1.2","EDU2","01026","csp_8_6","AT2|1","Female",FALSE,78,374.144398034164
64,"FT.3.2","EDU1-6","01026","csp_2_3","AT1|1","Male",FALSE,22,401.444653822243
66,"FT.1.2","EDU1-2","01027","csp_7_7","AT2|1","Female",FALSE,73,533.239636082581
67,"FT.1.1","EDU1-7","01027","csp_8_4","AT2|2","Male",TRUE,26,655.974710361655
68,"FT.4.2","EDU3","01027","csp_6_5","AT1|1","Male",FALSE,39,543.194744855776
70,"FT.4.4","EDU1-7","01027","csp_7_5","AT2|1","Female",FALSE,62,423.933907921678
72,"FT.3.2","EDU1-2","01031","csp_8_4","AT2|2","Female",TRUE,20,737.753014874534
73,"FT.4.2","EDU1-8","01031","csp_3_8","AT1|1","Male",FALSE,37,296.200832397834
74,"FT.4.4","EDU1-3","01031","csp_7_8","AT2|1","Male",FALSE,70,482.518954823184
77,"FT.1.1","EDU1-3","01031","csp_5_4","AT1|1","Male",FALSE,47,246.964824314418
78,"FT.1.1","EDU1-2","01031","csp_7_8","AT2|1","Male",FALSE,88,454.584829174857
79,"FT.1.2","EDU1-3","01032","csp_7_7","AT2|1","Female",FALSE,71,456.625756579438
81,"FT.4.1","EDU1-5","01032","csp_6_7","AT1|1","Male",FALSE,46,733.158337133591
83,"FT.4.1","EDU1-2","01032","csp_8_4","AT2|2","Female",TRUE,19,701.549728503191
85,"FT.4.1","EDU1-4","01033","csp_5_3","AT1|1","Male",FALSE,34,208.876160494471
86,"FT.3.2","EDU1-2","01033","csp_8_4","AT2|2","Male",TRUE,16,685.78394989811
92,"FT.4.4","EDU1-4","01033","csp_7_5","AT2|1","Female",FALSE,71,377.694286616046
93,"FT.4.4","EDU1-2","01033","csp_2_2","AT1|2","Female",FALSE,63,578.934318638707
95,"FT.4.4","EDU1-3","01033","csp_7_8","AT2|1","Male",FALSE,86,392.862470496863
99,"FT.4.1","EDU1-3","01033","csp_2_1","AT1|1","Male",FALSE,52,510.768997139462
101,"FT.4.1","EDU1-2","01033","csp_8_4","AT2|2","Female",TRUE,19,659.722502483269
105,"FT.4.1","EDU1-6","01033","csp_3_8","AT1|1","Male",FALSE,49,430.686485759668
106,"FT.4.4","EDU2","01033","csp_8_5","AT2|5","Male",TRUE,22,646.766492190965
107,"FT.4.4","EDU1-1","01033","csp_7_7","AT2|1","Female",FALSE,80,437.563295067212
108,"FT.4.3","EDU1-8","01033","csp_4_2","AT1|2","Male",FALSE,50,451.705862356766
111,"FT.1.2","EDU1-8","01034","csp_3_7","AT1|1","Female",FALSE,49,232.031690466878
114,"FT.4.1","EDU1-2","01034","csp_8_4","AT2|2","Female",TRUE,19,688.177221704023
116,"FT.4.1","EDU1-6","01034","csp_4_3","AT1|1","Female",FALSE,32,395.909808372337
117,"FT.4.4","EDU1","01034","csp_8_6","AT2|5","Female",FALSE,64,711.241733744681
123,"FT.3.2","EDU1-2","01034","csp_8_4","AT2|2","Female",TRUE,18,727.111515659061
126,"FT.4.3","EDU1-8","01034","csp_3_7","AT1|1","Female",FALSE,60,213.557314992411
128,"FT.4.1","EDU1-7","01036","csp_4_3","AT1|1","Female",FALSE,38,402.961103118286
131,"FT.4.1","EDU1-2","01039","csp_8_4","AT2|2","Female",TRUE,17,703.026953206791
139,"FT.1.2","EDU1-1","01043","csp_8_6","AT2|1","Female",FALSE,85,520.800664979901
141,"FT.4.4","EDU1-4","01044","csp_7_7","AT2|1","Male",FALSE,69,444.045774112054
144,"FT.2.0","EDU1-3","01047","csp_6_2","AT1|1","Male",FALSE,25,590.458374018721
145,"FT.1.2","EDU1-4","01049","csp_7_7","AT2|1","Female",FALSE,71,417.906070450021
146,"FT.4.1","EDU1-6","01049","csp_3_8","AT1|1","Male",FALSE,40,352.116039203843
147,"FT.4.1","EDU1-2","01053","csp_8_4","AT2|2","Female",TRUE,17,674.11778204956
148,"FT.2.0","EDU1-3","01053","csp_6_2","AT1|1","Male",FALSE,61,543.724669406749
149,"FT.4.4","EDU1-1","01053","csp_7_2","AT2|1","Female",FALSE,89,443.209841126992
150,"FT.1.2","EDU1-3","01053","csp_7_7","AT2|1","Female",FALSE,63,457.567690458925
151,"FT.4.4","EDU1-1","01053","csp_7_7","AT2|1","Female",FALSE,71,487.913726755068
152,"FT.4.4","EDU1-3","01053","csp_7_7","AT2|1","Female",FALSE,71,458.042321327287
153,"FT.4.2","EDU1-3","01053","csp_2_2","AT1|1","Male",FALSE,50,382.958376090098
154,"FT.4.1","EDU1-5","01053","csp_6_3","AT1|1","Male",FALSE,33,631.114381134779
158,"FT.1.2","EDU1-2","01053","csp_7_5","AT2|1","Female",FALSE,71,494.39119302734
164,"FT.4.4","EDU1-3","01053","csp_8_5","AT2|5","Female",FALSE,49,696.659348027039
168,"FT.4.1","EDU1-6","01053","csp_5_4","AT1|1","Female",FALSE,39,329.631922942519
173,"FT.4.1","EDU1-8","01053","csp_4_7","AT1|1","Male",FALSE,45,399.818329864525
174,"FT.4.1","EDU1-6","01053","csp_3_7","AT1|1","Male",FALSE,29,334.860134849838
184,"FT.4.4","EDU1-6","01053","csp_7_5","AT2|1","Male",FALSE,67,376.168933895056
185,"FT.4.2","EDU1-2","01053","csp_7_7","AT2|1","Female",FALSE,72,388.732672805912
186,"FT.4.2","EDU1-5","01053","csp_6_7","AT1|2","Female",FALSE,25,617.408395916858
188,"FT.1.1","EDU1-5","01053","csp_4_7","AT1|1","Male",FALSE,38,559.314316452861
190,"FT.3.2","EDU3","01053","csp_8_5","AT2|2","Male",TRUE,15,628.72431930403
