"Uid","emp"
1,"temp|1|6"
3,"temp|1|1"
4,"temp|1|6"
6,"temp|1|6"
14,"temp|1|6"
15,"temp|1|6"
19,"temp|1|6"
20,"temp|1|6"
23,"temp|1|6"
25,"temp|2|2"
33,"temp|1|6"
34,"temp|1|6"
35,"temp|1|6"
36,"temp|1|6"
49,"temp|1|6"
54,"temp|1|6"
60,"temp|2|2"
64,"temp|2|2"
68,"temp|1|6"
73,"temp|1|6"
77,"temp|1|6"
81,"temp|1|6"
85,"temp|1|5"
99,"temp|2|1"
105,"temp|1|6"
111,"temp|1|6"
116,"temp|1|6"
126,"temp|1|6"
128,"temp|2|1"
144,"temp|1|2"
146,"temp|1|6"
148,"temp|1|6"
153,"temp|2|1"
154,"temp|1|6"
168,"temp|1|6"
173,"temp|1|6"
174,"temp|1|6"
188,"temp|1|6"
195,"temp|1|6"
200,"temp|1|6"
204,"temp|1|6"
207,"temp|1|6"
208,"temp|1|5"
211,"temp|1|1"
214,"temp|1|6"
215,"temp|1|5"
222,"temp|1|5"
231,"temp|1|6"
233,"temp|1|6"
235,"temp|2|2"
237,"temp|1|6"
240,"temp|1|6"
244,"temp|1|5"
245,"temp|1|6"
246,"temp|1|6"
248,"temp|1|6"
256,"temp|1|6"
259,"temp|1|6"
275,"temp|2|1"
284,"temp|1|6"
286,"temp|1|6"
294,"temp|2|1"
296,"temp|1|6"
303,"temp|1|6"
315,"temp|1|6"
324,"temp|1|6"
326,"temp|2|1"
327,"temp|1|6"
329,"temp|1|6"
332,"temp|1|6"
336,"temp|1|6"
338,"temp|1|6"
340,"temp|1|6"
356,"temp|1|6"
361,"temp|1|6"
368,"temp|1|6"
370,"temp|1|6"
374,"temp|1|6"
378,"temp|1|6"
380,"temp|2|1"
381,"temp|1|6"
383,"temp|1|6"
390,"temp|1|6"
391,"temp|1|6"
392,"temp|1|6"
398,"temp|1|1"
399,"temp|1|6"
400,"temp|1|6"
401,"temp|1|6"
402,"temp|2|1"
403,"temp|1|6"
408,"temp|1|6"
411,"temp|1|6"
412,"temp|1|6"
421,"temp|1|6"
423,"temp|1|6"
425,"temp|1|3"
428,"temp|1|6"
435,"temp|1|6"
439,"temp|1|6"
449,"temp|1|6"
