"Uid","WORK_CONDITION","TERMS_OF_EMP","working_hours","JOB_DEP","Eco_sect","Employer_category","job_category","Job_desc","EMOLUMENT","employee_count"
3,"C","APP",607,"69","GZ","ct_9","A","685a",3097,"tr_1"
4,"C","CDI",1792,"71","FZ","ct_9","O","543h",25041,"tr_1"
6,"C","CDI",1824,"73","GZ","ct_9","O","462e",30782,"tr_1"
14,"C","CDI",1305,"01","GZ","ct_9","O","554b",14794,"tr_1"
19,"C","CDI",1710,"69","OZ","ct_8","O","462e",23595,"tr_6"
20,"C","CDI",1888,"01","CG","ct_9","O","385b",54744,"tr_6"
23,"C","CDI",1771,"69","MA","ct_9","O","383a",59116,"tr_6"
33,"C","CDI",1814,"01","KZ","ct_9","O","467c",30337,"tr_2"
34,"C","CDI",1820,"01","CA","ct_9","O","625a",21276,"tr_5"
35,"C","CDI",1820,"01","CA","ct_9","O","385b",50947,"tr_5"
36,"P","CDI",1229,"01","QA","ct_6","O","526a",18001,"tr_1"
49,"C","CDI",1792,"01","FZ","ct_9","O","621a",23339,"tr_1"
54,"C","CDI",1330,"01","HZ","ct_9","O","542a",11711,"tr_1"
68,"C","CDI",1933,"38","HZ","ct_9","O","653a",19968,"tr_5"
73,"C","CDI",1581,"01","CG","ct_9","O","387a",36826,"tr_5"
77,"C","CDI",187,"01","KZ","ct_6","O","543f",2770,"tr_1"
81,"C","CDI",1754,"01","CG","ct_9","O","674a",25363,"tr_4"
85,"C","AUT",1820,"69","OZ","ct_1","O","531a",26570,"tr_6"
105,"C","CDI",1810,"69","MA","ct_9","O","382a",30391,"tr_2"
111,"C","CDI",965,"01","DZ","ct_9","O","374c",52179,"tr_0"
116,"C","CDI",1677,"69","QA","ct_8","O","433a",20500,"tr_4"
126,"C","CDI",1820,"69","KZ","ct_9","O","372c",48511,"tr_5"
144,"N","TTP",676,"71","NZ","ct_9","O","628a",6960,"tr_1"
146,"C","CDI",1508,"69","NZ","ct_9","O","382a",33502,"tr_3"
148,"C","CDI",732,"01","CL","ct_9","O","624f",27153,"tr_4"
154,"C","CDI",1711,"01","FZ","ct_9","O","632f",26588,"tr_3"
168,"C","CDI",1967,"01","NZ","ct_9","O","543f",20155,"tr_5"
173,"C","CDI",1719,"01","FZ","ct_9","O","472a",27767,"tr_3"
174,"C","CDI",1719,"39","CM","ct_9","O","374b",24543,"tr_5"
188,"C","CDI",1914,"01","CL","ct_9","O","473b",31135,"tr_6"
195,"C","CDI",1694,"01","QB","ct_8","O","434d",22677,"tr_5"
200,"C","CDI",1677,"01","GZ","ct_9","O","553c",18482,"tr_2"
204,"C","CDI",1261,"01","IZ","ct_9","O","561f",8824,"tr_5"
207,"C","CDI",1796,"01","QB","ct_8","O","479b",16875,"tr_3"
208,"C","AUT",1906,"38","PZ","ct_1","O","341a",38064,"tr_4"
211,"C","APP",1125,"74","FZ","ct_9","A","681a",5205,"tr_1"
214,"P","CDI",1336,"01","QB","ct_9","O","526c",10654,"tr_2"
215,"P","AUT",1484,"01","QA","ct_3","O","431f",20154,"tr_5"
222,"C","AUT",1820,"01","QA","ct_3","O","632k",17372,"tr_6"
231,"P","CDI",1582,"01","OZ","ct_2","O","423b",16056,"tr_4"
237,"C","CDI",1820,"01","GZ","ct_9","O","474c",38580,"tr_3"
240,"C","CDI",374,"75","NZ","ct_9","O","465a",18017,"tr_2"
244,"C","CDD",657,"01","GZ","ct_9","O","344d",14605,"tr_1"
246,"P","CDI",354,"01","IZ","ct_9","O","561f",5049,"tr_1"
248,"C","CDI",1680,"01","QA","ct_9","O","525d",15530,"tr_0"
