"Uid","CLUB"
4,"club-109"
6,"club-106"
13,"club-106"
14,"club-102"
15,"club-102"
19,"club-109"
23,"club-117"
24,"club-117"
25,"club-109"
31,"club-403"
57,"club-404"
68,"club-131"
85,"club-102"
92,"club-105"
93,"club-105"
99,"club-107"
101,"club-113"
105,"club-107"
106,"club-133"
108,"club-107"
111,"club-108"
123,"club-604"
128,"club-123"
144,"club-237"
146,"club-410"
147,"club-110"
148,"club-114"
149,"club-109"
150,"club-108"
151,"club-108"
152,"club-108"
153,"club-102"
154,"club-107"
158,"club-108"
164,"club-102"
168,"club-121"
173,"club-102"
174,"club-107"
184,"club-114"
185,"club-108"
186,"club-107"
188,"club-107"
190,"club-121"
192,"club-121"
195,"club-107"
196,"club-121"
200,"club-102"
201,"club-114"
202,"club-101"
204,"club-102"
206,"club-109"
207,"club-102"
208,"club-121"
209,"club-121"
233,"club-413"
234,"club-132"
240,"club-111"
244,"club-413"
245,"club-133"
249,"club-402"
264,"club-242"
269,"club-111"
271,"club-132"
330,"club-132"
331,"club-132"
338,"club-123"
345,"club-242"
349,"club-103"
356,"club-117"
361,"club-128"
370,"club-132"
380,"club-401"
381,"club-101"
383,"club-112"
390,"club-101"
391,"club-101"
392,"club-112"
399,"club-221"
408,"club-102"
411,"club-101"
412,"club-101"
439,"club-201"
441,"club-242"
465,"club-119"
481,"club-252"
482,"club-103"
486,"club-604"
489,"club-123"
495,"club-132"
497,"club-111"
501,"club-410"
507,"club-111"
523,"club-105"
546,"club-123"
549,"club-219"
552,"club-111"
553,"club-105"
555,"club-402"
556,"club-114"
559,"club-114"
562,"club-245"
566,"club-413"
583,"club-264"
625,"club-401"
628,"club-109"
629,"club-105"
630,"club-108"
633,"club-105"
634,"club-109"
635,"club-102"
636,"club-102"
639,"club-102"
641,"club-106"
644,"club-105"
646,"club-102"
647,"club-106"
648,"club-124"
658,"club-102"
660,"club-124"
662,"club-102"
664,"club-102"
668,"club-108"
670,"club-102"
672,"club-124"
695,"club-111"
705,"club-111"
713,"club-109"
714,"club-107"
718,"club-105"
723,"club-117"
728,"club-119"
747,"club-401"
752,"club-211"
758,"club-132"
767,"club-219"
772,"club-415"
777,"club-245"
785,"club-111"
791,"club-242"
799,"club-102"
802,"club-102"
807,"club-113"
808,"club-102"
815,"club-102"
819,"club-102"
832,"club-119"
833,"club-105"
842,"club-401"
849,"club-404"
905,"club-211"
910,"club-109"
917,"club-121"
937,"club-105"
938,"club-134"
956,"club-604"
963,"club-123"
967,"club-124"
971,"club-212"
986,"club-211"
1043,"club-132"
1071,"club-245"
1082,"club-111"
1090,"club-402"
1100,"club-123"
1130,"club-109"
1131,"club-102"
1135,"club-102"
1141,"club-102"
1142,"club-117"
1144,"club-105"
1146,"club-106"
1147,"club-109"
1148,"club-105"
1149,"club-105"
1150,"club-107"
1151,"club-102"
1153,"club-109"
1167,"club-109"
1178,"club-109"
1179,"club-119"
1192,"club-109"
1196,"club-245"
1210,"club-109"
1224,"club-604"
1234,"club-111"
1239,"club-242"
1269,"club-402"
1277,"club-109"
1279,"club-111"
1320,"club-604"
1323,"club-117"
1351,"club-117"
1353,"club-111"
1359,"club-218"
1387,"club-402"
1389,"club-108"
1390,"club-114"
1393,"club-101"
1394,"club-114"
1397,"club-114"
1398,"club-106"
1401,"club-105"
1402,"club-102"
1407,"club-102"
1408,"club-101"
1410,"club-114"
1412,"club-105"
1413,"club-106"
1414,"club-114"
1415,"club-102"
1416,"club-134"
1417,"club-108"
1421,"club-101"
1425,"club-109"
1446,"club-402"
1460,"club-111"
1470,"club-221"
1475,"club-103"
1478,"club-109"
1483,"club-111"
1484,"club-111"
1495,"club-218"
1502,"club-111"
1527,"club-111"
1529,"club-109"
1537,"club-109"
1545,"club-242"
1549,"club-132"
1554,"club-101"
1555,"club-107"
1575,"club-113"
1578,"club-106"
1585,"club-212"
1588,"club-102"
1589,"club-108"
1590,"club-119"
